category,Casos acumulado
03/13/2020,2
03/14/2020,3
03/16/2020,16
03/17/2020,24
03/18/2020,31
03/19/2020,32
03/20/2020,39
03/21/2020,41
03/22/2020,52
03/23/2020,64
03/24/2020,75
03/25/2020,90
03/26/2020,99
03/27/2020,117
03/28/2020,122
03/29/2020,130
03/30/2020,148
03/31/2020,172
04/01/2020,187
04/02/2020,212
04/03/2020,222
04/04/2020,224
04/05/2020,226
04/06/2020,238
04/07/2020,245
04/08/2020,257
04/09/2020,265
04/10/2020,269
04/11/2020,271
04/12/2020,276
04/13/2020,296
04/14/2020,310
04/15/2020,315
04/16/2020,323
04/17/2020,332
04/18/2020,333
04/19/2020,339
04/20/2020,342
04/21/2020,344
04/22/2020,349
04/23/2020,354
04/24/2020,363
04/25/2020,364
04/26/2020,371
04/27/2020,377
04/28/2020,379
04/29/2020,393
04/30/2020,411
05/01/2020,412
05/02/2020,417
05/03/2020,420
05/04/2020,427
05/05/2020,439
05/06/2020,449
05/07/2020,487
05/08/2020,510
05/09/2020,514
05/10/2020,519
05/11/2020,562
05/12/2020,587
05/13/2020,645
05/14/2020,689
05/15/2020,722
05/16/2020,736
05/17/2020,742
05/18/2020,770
05/19/2020,801
05/20/2020,839
05/21/2020,867
05/22/2020,907
05/23/2020,919
05/24/2020,936
05/25/2020,990
05/26/2020,1050
05/27/2020,1088
05/28/2020,1140
05/29/2020,1174
05/30/2020,1183
05/31/2020,1188
06/01/2020,1232
06/02/2020,1275
06/03/2020,1347
06/04/2020,1405
06/05/2020,1479
06/06/2020,1516
06/07/2020,1542
06/08/2020,1614
06/09/2020,1711
06/10/2020,1792
06/11/2020,1830
06/12/2020,1949
06/13/2020,1990
06/14/2020,2027
06/15/2020,2145
06/16/2020,2256
06/17/2020,2394
06/18/2020,2527
06/19/2020,2605
06/20/2020,2635
06/21/2020,2732
06/22/2020,2871
06/23/2020,3010
06/24/2020,3152
06/25/2020,3271
06/26/2020,3392
06/27/2020,3471
06/28/2020,3505
06/29/2020,3672
06/30/2020,3891
07/01/2020,4022
07/02/2020,4219
07/03/2020,4448
07/04/2020,4550
07/05/2020,4606
07/06/2020,4958
07/07/2020,5241
07/08/2020,5496
07/09/2020,5718
07/10/2020,6015
07/11/2020,6090
07/12/2020,6188
07/13/2020,6491
07/14/2020,6767
07/15/2020,7079
07/16/2020,7413
07/17/2020,7768
07/18/2020,7913
07/19/2020,8222
07/20/2020,8558
07/21/2020,9052
07/22/2020,9496
07/23/2020,9938
07/24/2020,10373
07/25/2020,10866
07/26/2020,10947
07/27/2020,11379
07/28/2020,11716
07/29/2020,12081
07/30/2020,12453
07/31/2020,12982
08/01/2020,13296
08/02/2020,13507
08/03/2020,14047
08/04/2020,14496
08/05/2020,14934
08/06/2020,15366
08/07/2020,15706
08/08/2020,15814
08/09/2020,15896
08/10/2020,16392
08/11/2020,16834
08/12/2020,17244
08/13/2020,17617
08/14/2020,18107
08/15/2020,18359
08/16/2020,18543
08/17/2020,18824
08/18/2020,19026
08/19/2020,19204
08/20/2020,19217
08/21/2020,21161
08/22/2020,21188
08/23/2020,21189