category,Obitos por dia
03/24/2020,1
03/26/2020,1
04/01/2020,1
04/02/2020,1
04/06/2020,1
04/08/2020,1
04/12/2020,1
04/13/2020,1
04/16/2020,1
04/19/2020,1
04/21/2020,1
04/25/2020,1
04/26/2020,2
04/29/2020,1
05/02/2020,1
05/05/2020,1
05/11/2020,1
05/12/2020,1
05/13/2020,2
05/18/2020,3
05/19/2020,2
05/22/2020,1
05/23/2020,2
05/24/2020,2
05/25/2020,1
05/27/2020,1
05/28/2020,1
05/29/2020,1
05/30/2020,2
05/31/2020,1
06/01/2020,3
06/02/2020,2
06/03/2020,1
06/04/2020,1
06/07/2020,2
06/08/2020,1
06/09/2020,2
06/10/2020,3
06/11/2020,1
06/13/2020,4
06/14/2020,1
06/15/2020,1
06/16/2020,1
06/17/2020,3
06/18/2020,1
06/19/2020,5
06/21/2020,2
06/22/2020,2
06/23/2020,1
06/24/2020,3
06/25/2020,1
06/26/2020,1
06/27/2020,3
06/28/2020,6
06/29/2020,2
06/30/2020,3
07/01/2020,2
07/02/2020,5
07/03/2020,16
07/04/2020,4
07/05/2020,9
07/06/2020,8
07/07/2020,3
07/08/2020,2
07/09/2020,9
07/10/2020,4
07/11/2020,6
07/12/2020,12
07/13/2020,8
07/14/2020,6
07/15/2020,7
07/16/2020,9
07/17/2020,10
07/18/2020,10
07/19/2020,12
07/20/2020,7
07/21/2020,14
07/22/2020,6
07/23/2020,7
07/24/2020,11
07/25/2020,9
07/26/2020,10
07/27/2020,12
07/28/2020,15
07/29/2020,14
07/30/2020,10
07/31/2020,10
08/01/2020,16
08/02/2020,13
08/03/2020,19
08/04/2020,9
08/05/2020,16
08/06/2020,7
08/07/2020,10
08/08/2020,10
08/09/2020,12
08/10/2020,14
08/11/2020,16
08/12/2020,10
08/13/2020,10
08/14/2020,10
08/15/2020,6
08/16/2020,9
08/17/2020,9
08/18/2020,14
08/19/2020,9
08/20/2020,12
08/21/2020,9
08/22/2020,17
08/23/2020,11
08/24/2020,19
08/25/2020,9
08/26/2020,15
08/27/2020,16
08/28/2020,8
08/29/2020,14
08/30/2020,9
08/31/2020,12
09/01/2020,6
09/02/2020,16
09/03/2020,12
09/04/2020,10
09/05/2020,17
09/06/2020,11
09/07/2020,15
09/08/2020,11
09/09/2020,12
09/10/2020,11
09/11/2020,12
09/12/2020,15
09/13/2020,9
09/14/2020,8
09/15/2020,5
09/16/2020,12
09/17/2020,13
09/18/2020,11
09/19/2020,11
09/20/2020,9
09/21/2020,6
09/22/2020,4
09/23/2020,3
09/24/2020,7
09/25/2020,14
09/26/2020,16
09/27/2020,13
09/28/2020,8
09/29/2020,4
09/30/2020,6
10/01/2020,7
10/02/2020,11
10/03/2020,6
10/04/2020,3
10/05/2020,1